date,id,drone.number,it.distance,treatment
2018-04-16,1.3,2,2.912,zone.1
2018-04-16,4.7,1,3.108,zone.4
2018-04-20,2.2,1,2.54,zone.2
2018-04-16,4.2,1,2.997,zone.4
2018-04-05,3.2,1,2.916,zone.3
2018-04-05,3.2,2,2.479,zone.3
2018-04-05,3.2,3,3.191,zone.3
2018-04-20,2.5,1,2.773,zone.2
2018-04-20,2.5,2,3.264,zone.2
2018-04-20,4.6,1,3.149,zone.4
2018-04-20,4.6,2,2.474,zone.4
2018-04-20,4.6,3,3.15,zone.4
2018-04-20,4.6,4,2.987,zone.4
2018-04-13,1.2,1,2.996,zone.1
2018-04-13,1.2,2,3.108,zone.1
2018-04-13,1.2,3,3.231,zone.1
2018-04-13,1.2,4,3.355,zone.1
2018-04-13,1.2,5,3.265,zone.1
2018-04-05,1.5,1,2.67,zone.1
2018-04-05,1.5,2,2.914,zone.1
2018-04-05,1.5,3,2.3,zone.1
2018-04-05,1.5,4,3.133,zone.1
2018-04-05,1.5,5,2.348,zone.1
2018-04-20,3.6,1,2.264,zone.3
2018-04-13,3.2,1,2.911,zone.3
2018-04-20,2.3,1,2.722,zone.2
2018-04-20,2.3,2,3.332,zone.2
2018-04-20,1.3,1,2.849,zone.1
2018-04-20,2.6,1,3.191,zone.2
2018-04-20,2.6,2,3.319,zone.2
2018-04-20,2.6,3,2.912,zone.2
2018-04-13,3.7,1,3.245,zone.3
2018-04-20,3.3,1,3.366,zone.3
2018-04-20,3.3,2,3.264,zone.3
2018-04-20,3.3,3,2.994,zone.3
2018-04-20,2.6,1,3.009,zone.2
2018-04-20,2.6,2,3.302,zone.2
2018-04-20,2.6,3,2.799,zone.2
2018-04-16,3.2,1,2.825,zone.3
2018-04-16,3.2,2,2.843,zone.3
2018-04-16,3.2,3,2.881,zone.3
2018-04-16,3.2,4,3.029,zone.3
2018-04-16,3.2,5,2.93,zone.3
2018-04-20,4.4,1,3.13,zone.4
2018-04-20,4.4,2,2.994,zone.4
2018-04-20,4.4,3,2.95,zone.4
2018-04-20,4.4,4,2.92,zone.4
2018-04-20,4.4,5,2.801,zone.4
2018-04-05,3.6,1,2.766,zone.3
2018-04-05,3.6,2,3.118,zone.3
2018-04-05,3.6,3,3.134,zone.3
2018-04-05,3.6,4,2.89,zone.3
2018-04-05,3.6,5,2.863,zone.3
2018-04-05,4.4,1,3.355,zone.4
2018-04-05,4.4,2,3.278,zone.4
2018-04-05,4.2,1,3.035,zone.4
2018-04-05,4.2,2,3.23,zone.4
2018-04-05,4.2,3,2.819,zone.4
2018-04-05,4.2,4,3.172,zone.4
2018-04-20,2.7,1,2.545,zone.2
2018-04-20,2.7,2,2.882,zone.2
2018-04-20,2.7,3,2.896,zone.2
2018-04-20,1.7,1,2.57,zone.1
