,Sample information,,,Demography,,,,,,microcolony level,,,food remaining,,food provided,,culling,,room conditions,
ID,date,time,initials,n new drones,n total drones,n worker deaths,age class,workers replaced?,drones removed?,activity code,dominant worker,microcolony mass,pollen mass,nectar mass,pollen mass,nectar mass,n culled,frozen? ,temp,humidity
1.7,4/28,,,,,,,,,,,,-,7.85,1.09,13.36,,,,
1.7,5/2,,jH,0,0,0,A,,,A,-,441.1,-,7.69,1.06,14.21,-,,26.9,64
1.7,5/7,,jH,1,1,0,,,1/1,C,-,441.3,1.61,7.36,1.01,13.77,-,,27,50
1.7,5/11,,,,,,,,,,,,-,7.13,1.11,13.81,,,,
1.7,5/14,,jH,1,3,2,A,,,"C,L",-,442.38,-,8.35,1.04,15.31,-,,26.8,60
3.5,3/15,19:55,jH,-,-,1,A,yes,,"A,F",-,432.62,-,-,-,14.21,-,,28.1,60
3.5,3/18,,jH,,,,,,,,-,432.69,-,7.57,1.1,15.08,,,,
3.5,3/22,,jH,3,2,1,,yes,,,-,432.94,-,7.99,1.13,13.41,,,26.8,68
3.5,3/26,,jH,4,6,0,A,,yes,,-,431.69,0.25,6.55,1.03,14.75,,,26.5,63
3.5,3/29,,jH,0,0,0,A,,,A,-,434.73,-,8.22,3.16,27.09,-,,27.1,64
3.5,4/1,,jH,0,0,0,A,,,C,-,434.36,-,21.39,3.11,26.49,-,,26.6,60
3.5,4/5,,jH,2,2,0,A,,0/0,"C,F",-,440.9,-,8.93,3.07,25.93,-,,25.7,62
3.5,4/9,,jH,2,4,0,,,3/4,A,-,442,6.03,9.8,1.12,14.53,-,,27.2,59
3.5,4/13,,jH,1,2,0,A,,1/2,A,-,437.72,-,7.69,1.08,13.78,-,,27,62
3.5,4/16,,jH,0,0,0,A,,,A,-,436.33,-,8.28,1.04,14.8,-,,30.7,39
3.5,4/20,,jH,3,3,0,A,,0/3,A,-,435.1,-,7.85,1.13,13.76,-,,26.6,55
3.5,4/24,,jH,4,7,1,A,,6/7,"C,L",-,435.45,0.99,6.57,3.09,26.35,-,,25.9,61
3.5,4/28,,,,,,,,,,,,,12.43,3.05,24.98,,,,
3.5,5/2,,jH,6,7,0,A,,6/7,C,-,443.38,-,14.74,3.01,26.46,-,,26.9,64
3.5,5/7,,jH,5,6,0,A,,5/6,A,-,444.93,5.86,12.93,1,14.33,-,,27,50
3.5,5/11,,,,,,,,,,,,-,8.22,1.04,13.06,-,,,
3.5,5/14,,jH,1,2,3,,,,"C,L",-,437.62,-,8.56,1.12,15.12,,,26.8,61
3.4,3/15,19:58,jH,-,-,0,,,,A,-,437.84,-,-,-,15.51,-,,28.2,59
3.4,3/18,,jH,,,,,,,,-,437.79,-,6.77,1.11,15.07,,,,
3.4,3/22,,jH,-,-,0,,,,C,-,437.54,-,6.96,1.05,14.42,,,26.9,68
3.4,3/26,,jH,2,2,0,A,,yes,"C,L,F",-,438.1,2.36,6.93,1.09,13.65,,,26.6,65
3.4,3/29,,jH,1,1,0,A,,0/1,A,-,436.12,-,7.82,3.07,26.9,-,,27.1,64
3.4,4/1,,jH,,,,A,,0/n,"A,C",-,439.83,-,18.6,3.01,26.46,-,,26.6,60
3.4,4/5,,jH,,,1,A,,3/n,A,-,441.98,-,12.85,3.09,26.14,-,,25.7,62
3.4,4/9,,jH,5,5,2,,1/2,2/4,C,-,442.54,7.39,20.38,1.04,14.31,-,,26.2,60
3.4,4/13,,jH,0,2,2,,,2/2,A,-,435.81,-,7.56,1.13,14.12,-,,27,62
3.4,4/16,,jH,0,0,2,A,2/2,,A,-,435.61,-,8.37,1.06,15.01,-,,30.7,41
3.4,4/20,,jH,0,0,2,A,2/2,,A,-,435.44,-,8.08,1.13,14.93,-,,26.6,55
3.4,4/24,,jH,1,1,2,A,no,1/1,"A,C",-,436.49,2,7.24,3.14,25.79,-,,25.9,61
3.4,4/28,,,,,,,,,,,,-,14.14,3.06,24.25,,,,
3.4,5/2,,jH,2,2,1,A,,,A,-,443.52,-,16.35,3.06,26.65,-,,27,65
3.4,5/7,,jH,4,4,4,A,,4/4,C,-,445.42,6.98,19.15,1.04,14.61,-,,27,51
3.4,5/11,,,,,,,,,,,,-,7.52,1.05,13.45,,,,
3.4,5/14,,jH,0,0,1,,,,"A,C",-,437.75,-,8.73,1.04,15.37,-,,26.8,61
4.4,3/15,20:00,jH,-,-,0,A,,,"A,F",-,433.22,-,- ,-,12.1,-,,28.2,59
4.4,3/18,,jH,,,,,,,,-,432.47,-,5.76,0.88,12.39,,,,
4.4,3/22,,jH,-,-,0,A,,,,-,431.13,-,6.42,0.85,11.96,,,27,68
4.4,3/26,,jH,-,-,0,A,,,"L,F",-,431.89,1.94,6.71,0.84,12.69,,,26.6,65
4.4,3/29,,jH,3,3,0,A,,0/3,"C,L",-,431.31,-,6.89,1.78,19.5,-,,27.1,64
4.4,4/1,,jH,5,8,0,A,,5/8,A,-,,-,13.86,1.79,20.49,-,,26.6,60
4.4,4/5,,jH,0,3,0,A,,2/3,,-,434.24,-,9.27,1.88,20.22,-,,25.7,62
4.4,4/9,,jH,0,0,0,A,,,A,-,434.63,2.63,12.85,0.74,10.82,-,,27.2,60
4.4,4/13,,jH,1,1,1,A,yes,1/1,C,-,432.55,-,7.23,0.8,12.98,-,,-,-
4.4,4/16,,jH,0,0,0,A,,,A,-,431.37,-,7.3,0.78,13.65,-,,30.7,44
4.4,4/20,,jH,6,6,2,A,1/2,5/6,"C,L",-,430.79,-,8.1,0.78,12.62,-,,26.7,54
4.4,4/24,,jH,3,4,1,A,,2/4,L,-,430.77,1.33,7.45,1.81,19.82,-,,25.9,61
4.4,4/28,,,,,,,,,,,,,8.64,1.74,24.45,,,,
4.4,5/2,,jH,0,0,1,A,,,A,-,437.01,-,15.72,1.74,19.95,-,,27,65
4.4,5/7,,jH,0,1,3,A,2/3,,A,-,437.86,2.62,12.34,0.72,12.73,-,,27,51
4.4,5/11,,,,,,,,,,,,-,7.65,0.73,10.36,,,,
