id,date,time,initials,temp,humidity,activity,mc_mass,n_drones,n_new_drones,n_worker_deaths,brood,workers_replaced,drones_removed,drones_frz,p_mass_rm,n_mass_rm,p_mass_fd,n_mass_fd,notes,treatment,fd.day
2.3,2019-01-09,13:22:00,GW,24.8,62,C,434.8,0,0,0,"E,H,P",,,,NA,15.27,1.98,18.15,,zone.2,17
2.4,2018-11-13,21:05:00,GW,27.4,73,C,426.17,0,0,0,"E,H",,,,NA,18.62,2.01,17.51,,zone.2,1
2.4,2018-11-16,17:44:00,GW,27,68,C,428.38,0,0,0,"E,H",,,,NA,12.84,2.03,18.15,,zone.2,2
2.4,2018-11-20,20:03:00,GW,27.2,63,C,430.44,0,0,2,"E,H",2-Feb,,,4.6,13.14,2,17.75,,zone.2,3
2.4,2018-11-25,15:19:00,GW,26.7,68,C,427.81,0,0,1,"E,H,P",1-Jan,,,NA,8.9,2,17.2,,zone.2,4
2.4,2018-11-28,21:22:00,GW,26.6,68,C,429.63,0,0,0,"E,H,P",,,,NA,9.9,2.04,17.81,,zone.2,5
2.4,2018-12-01,13:30:00,JH,26.8,71,"A,C",433.92,0,0,1,"E,H,P",1-Jan,,,4.07,16.66,2.02,20.53,,zone.2,6
2.4,2018-12-06,14:15:00,JH,26.7,64,"A,L",427.56,2,2,0,"E,H,P",,2-Feb,Yes,NA,8.04,1.96,19.16,,zone.2,7
2.4,2018-12-09,14:28:00,GW,26.9,69,"A,C",430.85,1,1,1,"E,H,P",1-Jan,1-Jan,Yes,NA,11.35,1.96,17.49,,zone.2,8
2.4,2018-12-12,19:48:00,GW,25.6,67,C,432.5,4,4,1,"E,H,P",1-Jan,4-Apr,Yes,3.61,10.66,2.03,17.28,,zone.2,9
2.4,2018-12-15,20:29:00,GW,25.8,64,C,430.27,2,2,2,"E,H,P",2-Feb,2-Feb,Yes,NA,11.84,2.02,17.17,,zone.2,10
2.4,2018-12-18,16:50:00,GW,25.2,62,C,432.49,0,0,0,"E,H,P",,,,NA,11.64,1.98,16.73,,zone.2,11
2.4,2018-12-21,14:30:00,GW,25.1,64,C,433.88,0,0,0,"E,H,P",,,,5.79,11.54,2.03,17.61,,zone.2,12
2.4,2018-12-26,10:30:00,JH,26.2,68,C,429.66,0,0,1,"E,H,P",1-Jan,,,NA,10.85,2.01,18.64,,zone.2,13
2.4,2018-12-30,18:47:00,GW,26.7,67,C,431.27,0,0,1,"E,H,P",1-Jan,,,NA,11.85,1.97,17.56,,zone.2,14
2.4,2019-01-03,15:58:00,GW,24.9,66,"C,F",432.54,2,2,0,"E,H,P",,2-Feb,Yes,4.31,10.93,2.04,17.28,,zone.2,15
2.4,2019-01-06,15:55:00,GW,25.3,61,C,430.39,0,0,0,"E,H,P",,,,NA,11.49,1.96,17.23,,zone.2,16
2.4,2019-01-09,13:26:00,GW,24.8,62,C,432.36,0,0,1,"E,H,P",1-Jan,,,NA,12.34,1.99,17.7,,zone.2,17
