rep,id,date,it.distance,notes,trt_pulse,trt_total
1,3.7,2018-04-16,2.945,NA,pulse,100
1,3.7,2018-04-16,3.397,NA,pulse,100
1,2.1,2018-05-07,3.303,NA,constant,100
1,2.1,2018-05-07,3.453,NA,constant,100
1,2.4,2018-03-29,3.389,NA,constant,100
1,2.4,2018-03-29,3.08,NA,constant,100
1,2.3,2018-05-14,3.241,NA,constant,100
1,2.3,2018-05-14,3.166,NA,constant,100
1,2.3,2018-05-14,3.263,NA,constant,100
1,2.3,2018-05-14,3.451,NA,constant,100
1,2.3,2018-05-14,3.488,NA,constant,100
1,2.5,2018-04-01,2.886,NA,constant,100
1,2.1,2018-05-07,2.758,NA,constant,100
1,2.1,2018-05-07,2.562,NA,constant,100
1,2.1,2018-05-07,3.515,NA,constant,100
1,1.5,2018-05-07,3.128,NA,constant,60
1,1.5,2018-05-07,3.308,NA,constant,60
1,1.5,2018-05-07,3.38,NA,constant,60
1,3.3,2018-04-16,3.826,NA,pulse,100
1,3.3,2018-04-16,3.261,NA,pulse,100
1,2.6,2018-05-07,2.993,NA,constant,100
1,2.6,2018-05-07,3.196,NA,constant,100
1,2.6,2018-05-07,2.53,NA,constant,100
1,4.1,2018-04-16,2.546,NA,pulse,60
1,4.1,2018-04-16,3.081,NA,pulse,60
1,4.1,2018-04-16,2.562,NA,pulse,60
1,4.1,2018-04-16,2.419,NA,pulse,60
1,4.1,2018-04-16,3.245,NA,pulse,60
1,4.1,2018-04-13,2.24,NA,pulse,60
1,1.3,2018-05-07,2.912,NA,constant,60
1,1.3,2018-05-07,2.768,NA,constant,60
1,1.3,2018-05-07,3,NA,constant,60
1,1.7,2018-04-01,2.901,NA,constant,60
1,1.7,2018-04-01,2.845,NA,constant,60
1,1.7,2018-04-01,2.825,NA,constant,60
1,1.7,2018-04-01,3.228,NA,constant,60
1,1.7,2018-04-01,3.126,NA,constant,60
1,1.5,2018-03-29,3.301,NA,constant,60
1,1.5,2018-03-29,2.979,NA,constant,60
1,1.5,2018-03-29,3.286,NA,constant,60
1,2.2,2018-04-13,3.238,NA,constant,100
1,2.2,2018-04-13,3.239,NA,constant,100
1,2.2,2018-04-13,3.212,NA,constant,100
1,1.2,2018-04-01,3.231,NA,constant,60
1,3.7,2018-04-01,2.984,NA,pulse,100
1,3.7,2018-04-01,3.485,NA,pulse,100
1,3.7,2018-04-01,3.444,NA,pulse,100
1,3.3,2018-05-07,2.895,NA,pulse,100
1,3.3,2018-05-07,2.753,NA,pulse,100
1,4.7,2018-05-07,2.963,NA,pulse,60
1,4.7,2018-05-07,3.022,NA,pulse,60
1,4.7,2018-05-07,2.938,NA,pulse,60
1,4.7,2018-05-07,3.032,NA,pulse,60
1,2.5,2018-04-13,3.528,NA,constant,100
1,2.5,2018-04-13,3.464,NA,constant,100
1,2.5,2018-04-13,3.12,NA,constant,100
1,2.5,2018-04-13,3.195,NA,constant,100
1,2.5,2018-04-16,3.224,NA,constant,100
1,2.5,2018-04-16,3.1,NA,constant,100
1,2.5,2018-04-16,3.416,NA,constant,100
1,2.5,2018-04-16,3.602,NA,constant,100
1,2.6,2018-03-29,2.64,NA,constant,100
1,2.6,2018-03-29,3,NA,constant,100
1,2.6,2018-03-29,3.565,NA,constant,100
1,2.6,2018-04-16,2.451,NA,constant,100
1,2.6,2018-04-16,2.827,NA,constant,100
1,2.6,2018-04-16,1.997,NA,constant,100
1,2.6,2018-04-16,3.465,NA,constant,100
1,2.6,2018-04-16,3.25,NA,constant,100
1,2.4,2018-04-13,3.176,NA,constant,100
1,2.4,2018-04-13,3.083,NA,constant,100
1,4.2,2018-03-07,3.012,NA,pulse,60
1,4.2,2018-03-07,2.832,NA,pulse,60
1,2.2,2018-05-07,3.076,NA,constant,100
1,2.2,2018-05-07,3.329,NA,constant,100
1,2.2,2018-05-07,3.129,NA,constant,100
1,4.4,2018-04-13,3.685,NA,pulse,60
1,3.4,2018-03-26,3.154,NA,pulse,100
1,3.4,2018-03-26,3.419,NA,pulse,100
1,3.5,2018-07-07,3.328,NA,pulse,100
1,3.5,2018-07-07,2.602,NA,pulse,100
1,3.5,2018-07-07,2.638,NA,pulse,100
1,3.5,2018-07-07,3.21,NA,pulse,100
1,3.5,2018-07-07,3.691,NA,pulse,100
1,4.1,2018-03-26,3.747,NA,pulse,60
1,4.1,2018-03-29,2.937,NA,pulse,60
1,4.1,2018-03-29,3.733,NA,pulse,60
1,4.1,2018-03-29,3.212,NA,pulse,60
1,2.2,2018-03-29,2.853,NA,constant,100
1,2.2,2018-03-29,3.689,NA,constant,100
1,2.2,2018-03-29,3.853,NA,constant,100
1,2.2,2018-03-29,2.45,NA,constant,100
1,3.4,2018-06-07,3.045,NA,pulse,100
1,3.4,2018-06-07,3.008,NA,pulse,100
1,3.4,2018-06-07,2.601,NA,pulse,100
1,3.4,2018-06-07,3.03,NA,pulse,100
1,2.3,2018-05-07,3.13,NA,constant,100
1,2.3,2018-05-07,3.247,NA,constant,100
1,3.5,2018-03-26,3.167,NA,pulse,100
1,3.5,2018-03-26,3.111,NA,pulse,100
1,2.7,2018-04-13,2.974,NA,constant,100
1,2.7,2018-04-13,3.147,NA,constant,100
1,4.2,2018-04-09,3.25,NA,pulse,60
1,4.2,2018-04-09,3.249,NA,pulse,60
1,3.1,2018-04-13,2.953,NA,pulse,100
1,3.1,2018-04-13,3.416,NA,pulse,100
1,1.3,2018-04-13,2.839,NA,constant,60
1,1.5,2018-04-13,2.803,NA,constant,60
1,1.6,2018-04-09,2.979,NA,constant,60
1,1.6,2018-04-09,3.13,NA,constant,60
1,1.6,2018-04-09,2.416,NA,constant,60
1,1.6,2018-04-09,3.217,NA,constant,60
1,1.6,2018-04-09,3.389,NA,constant,60
1,3.3,2018-04-13,2.92,NA,pulse,100
1,3.3,2018-04-13,3.373,NA,pulse,100
1,2.5,2018-04-23,2.983,NA,constant,100
1,3.5,2018-04-09,2.966,NA,pulse,100
1,3.5,2018-04-09,3.654,NA,pulse,100
1,3.5,2018-04-09,3.058,NA,pulse,100
1,3.5,2018-04-13,3.445,NA,pulse,100
1,2.3,2018-04-13,3.304,NA,constant,100
1,2.3,2018-04-13,3.753,NA,constant,100
1,2.3,2018-04-13,2.565,NA,constant,100
1,2.3,2018-04-13,3.449,NA,constant,100
1,2.3,2018-04-13,2.663,NA,constant,100
1,2.3,2018-04-13,3.344,NA,constant,100
1,2.3,2018-04-13,3.078,NA,constant,100
1,3.4,2018-04-09,3.302,NA,pulse,100
1,3.4,2018-04-09,3.124,NA,pulse,100
1,3.4,2018-04-09,3.815,NA,pulse,100
1,3.4,2018-04-09,2.862,NA,pulse,100
1,2.3,2018-04-09,3.258,NA,constant,100
1,1.7,2018-04-16,2.748,NA,constant,60
1,1.7,2018-04-16,2.847,NA,constant,60
1,1.7,2018-04-16,2.679,NA,constant,60
