Microcolony ID,Date (2018),IT Distance  (mm),Notes
3.2,7/13/18,2.84,
3.2,7/13/18,3.152,
3.2,8/6/18,3,
3.2,8/6/18,3.173,
3.2,8/6/18,3.103,
1.1,7/30/18,3.041,
3.6,7/13/18,3.148,
3.7,8/2/18,3.148,
3.7,8/2/18,3.213,
3.7,8/2/18,3.016,
3.7,8/2/18,3.05,
3.7,8/2/18,3.378,
2.6,7/30/18,3.611,
2.6,7/30/18,3.524,
2.6,7/30/18,3.298,
2.6,7/30/18,3.6,
1.6,7/18/18,2.721,
1.6,7/18/18,2.738,
3.7,7/16/18,3.633,
3.6,7/13/18,3.23,
3.6,7/13/18,3.361,
3.6,7/13/18,3.154,
3.6,7/13/18,3.05,
3.6,7/13/18,3.373,
2.6,8/2/18,3.674,
2.5,8/6/18,2.722,
2.5,8/6/18,3.029,
2.5,8/9/18,3.184,
2.5,8/9/18,3.262,
2.5,7/18/18,3.175,
2.1,7/13/18,2.889,
2.1,7/13/18,3.721,
3.2,7/13/18,3.311,
3.2,7/13/18,2.924,
3.2,7/13/18,3.182,
3.2,7/13/18,2.985,
3.2,7/13/18,3.023,
3.2,7/13/18,3.361,
3.2,7/13/18,3.1,
3.2,7/13/18,3.77,
3.2,7/13/18,3.387,
2.4,8/2/18,2.426,
2.4,7/26/18,2.688,
2.6,7/13/18,3.295,
2.6,7/13/18,3.204,
4.4,7/23/18,3.053,
4.4,7/23/18,2.801,
3.3,7/23/18,2.995,
3.6,7/30/18,2.885,
3.2,7/16/18,2.135,
3.2,7/16/18,3.427,
4.1,7/26/18,2.617,
4.4,7/13/18,3.464,
4.4,7/13/18,2.81,
4.4,7/13/18,3.102,
4.4,7/13/18,3.073,
4.4,7/13/18,3.382,
4.4,7/13/18,2.736,
4.4,7/13/18,3.068,
4.4,7/13/18,3.445,
4.4,7/13/18,2.822,
3.2,8/9/18,3.003,
3.2,8/9/18,3.459,
3.2,8/9/18,2.837,
3.2,8/9/18,3.118,
3.2,8/9/18,3.115,
3.2,8/9/18,3.45,
3.3,8/9/18,3.495,
3.3,8/9/18,3.297,
3.3,8/9/18,3.433,
4.3,7/13/18,3.203,
4.3,7/13/18,3.396,
4.3,7/13/18,2.936,
4.3,7/13/18,3.525,
4.4,7/26/18,3.114,
1.1,7/26/18,3.263,
3.1,7/13/18,2.788,
3.1,7/13/18,3.017,
3.1,7/13/18,3.251,
3.1,7/13/18,3.001,
3.1,7/13/18,2.754,
3.1,7/13/18,2.722,
3.1,7/13/18,2.715,
3.1,7/13/18,3.292,
3.7,7/30/18,3.82,
3.7,7/30/18,4.2,
3.7,7/30/18,3.741,
2.7,7/13/18,2.706,
2.7,7/13/18,3.664,
2.6,7/26/18,3.378,
4.7,7/26/18,2.798,
4.7,7/26/18,2.841,
2.4,7/30/18,2.762,
1.5,8/2/18,2.826,
1.5,8/2/18,3.246,
1.3,8/9/18,2.804,
1.3,8/9/18,2.771,
4.3,8/2/18,2.975,
4.3,8/2/18,2.73,
1.1,7/13/18,3.279,
2.6,8/9/18,3.315,
2.6,8/9/18,3.136,
4.7,7/13/18,3.104,
4.7,7/13/18,2.794,
4.7,7/13/18,3.146,
4.7,7/13/18,2.73,
4.7,7/13/18,3.165,
4.7,7/13/18,3.035,
1.6,7/13/18,2.773,
1.6,7/13/18,3.339,
1.6,7/13/18,3.09,
1.6,7/13/18,3.036,
1.6,7/13/18,3.465,
1.6,7/13/18,3.255,
1.6,7/13/18,2.965,
1.6,7/13/18,3.341,
1.6,7/13/18,3.64,
